source_id	url_or_file	first_seen	source_type	raw_company_name	normalized_company_name	country	status	reason
auto-uruguay-meats-exporters-solis-meat-uruguay-11ix2t2	https://uymeats.com/product/solis-meat-uruguay/	2026-05-19	official_list	Solís Meat Uruguay	Solís Meat Uruguay	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
auto-uruguay-meats-exporters-frigorifico-las-moras-k9hgtl	https://uymeats.com/product/frigorifico-las-moras/	2026-05-19	official_list	Frigorífico Las Moras	Frigorífico Las Moras	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
auto-uruguay-meats-exporters-frigorifico-canelones-4ewacm	https://uymeats.com/product/frigorifico-canelones-s-a/	2026-05-19	official_list	Frigorifico Canelones S.A	Frigorifico Canelones	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
auto-uruguay-meats-exporters-marfrig-global-foods-1d5mz2c	https://uymeats.com/product/marfrig-global-foods/	2026-05-19	official_list	Marfrig Global Foods	Marfrig Global Foods	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
auto-uruguay-meats-exporters-minerva-foods-1kdf4hc	https://uymeats.com/product/minerva-foods/	2026-05-19	official_list	Minerva Foods	Minerva Foods	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
py-senacsa-001	https://example.local/py/a-frigorifico	2026-05-19	official_list	A Frigorifico Paraguay SA	A Frigorifico Paraguay	Paraguay	skipped_dup	重复 URL、注册号或公司+国家
br-weak-001	https://example.local/br/c-subprodutos	2026-05-19	weak_signal	C Subprodutos Bovinos Ltda	C Subprodutos Bovinos	Brazil	skipped_dup	重复 URL、注册号或公司+国家
uy-ref-001	https://example.local/uy/b-exporter	2026-05-19	bill_of_lading	B Exporter Uruguay	B Exporter Uruguay	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
br-excluded-001	https://example.local/br/rumen-trader	2026-05-19	manual_tsv	Rumen Trader Brazil	Rumen Trader Brazil	Brazil	skipped_excluded	只命中排除品类，没有 Omasum 信号
py-dup-001	https://example.local/py/a-frigorifico	2026-05-19	official_list	A Frigorifico Paraguay S.A.	A Frigorifico Paraguay	Paraguay	skipped_dup	重复 URL、注册号或公司+国家
